device_name,config_type,vlan_id,interface_name,ip_address,subnet_mask,gateway_redundancy_mode,hsrp_vrrp_vip,priority,routing_protocol,destination_network,next_hop,description
SW-CORE-01,SVI,10,Vlan10,10.0.10.2,255.255.255.0,hsrp,10.0.10.1,110,,,,서버존 SVI(Active)
SW-CORE-02,SVI,10,Vlan10,10.0.10.3,255.255.255.0,hsrp,10.0.10.1,100,,,,서버존 SVI(Standby)
SW-CORE-01,SVI,20,Vlan20,10.0.20.2,255.255.255.0,hsrp,10.0.20.1,110,,,,DB존 SVI(Active)
SW-CORE-02,SVI,20,Vlan20,10.0.20.3,255.255.255.0,hsrp,10.0.20.1,100,,,,DB존 SVI(Standby)
SW-CORE-01,SVI,30,Vlan30,10.0.30.2,255.255.255.0,glbp,10.0.30.1,110,,,,사용자존 SVI(GLBP AVG)
SW-CORE-02,SVI,30,Vlan30,10.0.30.3,255.255.255.0,glbp,10.0.30.1,100,,,,사용자존 SVI(GLBP 멤버)
SW-CORE-01,SVI,100,Vlan100,10.0.100.2,255.255.255.0,ecmp,,,,,,F5 VIP존 SVI(OSPF ECMP - A-A)
SW-CORE-02,SVI,100,Vlan100,10.0.100.3,255.255.255.0,ecmp,,,,,,F5 VIP존 SVI(OSPF ECMP - A-A)
SW-CORE-01,StaticRoute,,,,,,,,,0.0.0.0/0,192.168.1.5,기본 게이트웨이(방화벽 방향)
F5-LTM-01,SelfIP,100,VLAN-VIP,10.0.100.10,255.255.255.0,,,,,,,F5 Self IP(VIP VLAN)
F5-LTM-01,StaticRoute,,,,,,,,,0.0.0.0/0,10.0.100.2,F5 기본 게이트웨이(코어 SVI 방향)
